ibge,nu_semana,total_acumulado,total_investigacao,total_confirmado,total_descartado,total_obito_notificado,total_obito_investigado,total_obito_confirmado,total_obito_descartado
120001,6,0,0,0,0,0,0,0,0
120005,6,0,0,0,0,0,0,0,0
120010,6,0,0,0,0,0,0,0,0
120010,37,1,1,0,0,0,0,0,0
120010,38,1,1,0,0,0,0,0,0
120010,39,1,1,0,0,0,0,0,0
120010,40,1,1,0,0,0,0,0,0
120010,41,1,1,0,0,0,0,0,0
120010,42,1,1,0,0,0,0,0,0
120010,43,1,1,0,0,0,0,0,0
120010,44,1,1,0,0,0,0,0,0
120010,45,1,1,0,0,0,0,0,0
120010,46,1,1,0,0,0,0,0,0
120010,47,1,1,0,0,0,0,0,0
120010,48,1,1,0,0,0,0,0,0
120010,50,1,1,0,0,0,0,0,0
120013,6,0,0,0,0,0,0,0,0
120017,6,0,0,0,0,0,0,0,0
120017,44,1,1,0,0,0,0,0,0
120017,45,1,1,0,0,0,0,0,0
120017,46,1,1,0,0,0,0,0,0
120017,47,1,1,0,0,0,0,0,0
120017,48,1,1,0,0,0,0,0,0
120017,50,1,1,0,0,0,0,0,0
120020,6,1,1,0,0,0,0,0,0
120020,7,1,1,0,0,0,0,0,0
120020,8,1,1,0,0,0,0,0,0
120020,9,1,1,0,0,0,0,0,0
120020,10,1,1,0,0,0,0,0,0
120020,11,1,1,0,0,0,0,0,0
120020,12,1,1,0,0,0,0,0,0
120020,13,1,1,0,0,0,0,0,0
120020,14,1,0,0,1,0,0,0,0
120020,15,1,0,0,1,0,0,0,0
120020,16,1,0,0,1,0,0,0,0
120020,17,1,0,0,1,0,0,0,0
120020,18,1,0,0,1,0,0,0,0
120020,19,1,0,0,1,0,0,0,0
120020,20,1,0,0,1,0,0,0,0
120020,21,1,0,0,1,0,0,0,0
120020,22,1,0,0,1,0,0,0,0
120020,23,1,0,0,1,0,0,0,0
120020,24,1,0,0,1,0,0,0,0
120020,25,1,0,0,1,0,0,0,0
120020,26,1,0,0,1,0,0,0,0
120020,27,1,0,0,1,0,0,0,0
120020,28,1,0,0,1,0,0,0,0
120020,29,1,0,0,1,0,0,0,0
120020,30,1,0,0,1,0,0,0,0
120020,31,1,0,0,1,0,0,0,0
120020,32,1,0,0,1,0,0,0,0
120020,33,1,0,0,1,0,0,0,0
120020,34,1,0,0,1,0,0,0,0
120020,35,1,0,0,1,0,0,0,0
120020,36,1,0,0,1,0,0,0,0
120020,37,1,0,0,1,0,0,0,0
120020,38,1,0,0,1,0,0,0,0
120020,39,1,0,0,1,0,0,0,0
120020,40,1,0,0,1,0,0,0,0
120020,41,1,0,0,1,0,0,0,0
120020,42,1,0,0,1,0,0,0,0
120020,43,1,0,0,1,0,0,0,0
120020,44,1,0,0,1,0,0,0,0
120020,45,1,0,0,1,0,0,0,0
120020,46,1,0,0,1,0,0,0,0
120020,47,1,0,0,1,0,0,0,0
120020,48,1,0,0,1,0,0,0,0
120020,50,1,0,0,1,0,0,0,0
120025,6,0,0,0,0,0,0,0,0
120025,8,1,1,0,0,0,0,0,0
120025,9,1,1,0,0,0,0,0,0
120025,10,1,1,0,0,0,0,0,0
120025,11,1,1,0,0,0,0,0,0
120025,12,1,1,0,0,0,0,0,0
120025,13,1,1,0,0,0,0,0,0
120025,14,1,1,0,0,0,0,0,0
120025,15,1,1,0,0,0,0,0,0
120025,16,1,0,0,1,0,0,0,0
120025,17,1,0,0,1,0,0,0,0
120025,18,1,0,0,1,0,0,0,0
120025,19,1,0,0,1,0,0,0,0
120025,20,1,0,0,1,0,0,0,0
120025,21,1,0,0,1,0,0,0,0
120025,22,1,0,0,1,0,0,0,0
120025,23,1,0,0,1,0,0,0,0
120025,24,1,0,0,1,0,0,0,0
120025,25,1,0,0,1,0,0,0,0
120025,26,1,0,0,1,0,0,0,0
120025,27,1,0,0,1,0,0,0,0
120025,28,1,0,0,1,0,0,0,0
120025,29,1,0,0,1,0,0,0,0
120025,30,1,0,0,1,0,0,0,0
120025,31,1,0,0,1,0,0,0,0
120025,32,1,0,0,1,0,0,0,0
120025,33,1,0,0,1,0,0,0,0
120025,34,1,0,0,1,0,0,0,0
120025,35,1,0,0,1,0,0,0,0
120025,36,1,0,0,1,0,0,0,0
120025,37,1,0,0,1,0,0,0,0
120025,38,1,0,0,1,0,0,0,0
120025,39,1,0,0,1,0,0,0,0
120025,40,1,0,0,1,0,0,0,0
120025,41,1,0,0,1,0,0,0,0
120025,42,1,0,0,1,0,0,0,0
120025,43,1,0,0,1,0,0,0,0
120025,44,1,0,0,1,0,0,0,0
120025,45,1,0,0,1,0,0,0,0
120025,46,1,0,0,1,0,0,0,0
120025,47,1,0,0,1,0,0,0,0
120025,48,1,0,0,1,0,0,0,0
120025,50,1,0,0,1,0,0,0,0
120030,6,1,1,0,0,0,0,0,0
120030,7,1,1,0,0,0,0,0,0
120030,8,1,1,0,0,0,0,0,0
120030,9,1,1,0,0,0,0,0,0
120030,10,1,1,0,0,0,0,0,0
120030,11,2,2,0,0,0,0,0,0
120030,12,2,2,0,0,0,0,0,0
120030,13,2,1,0,1,0,0,0,0
120030,14,2,1,0,1,0,0,0,0
120030,15,2,1,0,1,0,0,0,0
120030,16,2,1,0,1,0,0,0,0
120030,17,2,1,0,1,0,0,0,0
120030,18,2,1,0,1,0,0,0,0
120030,19,2,1,0,1,0,0,0,0
120030,20,2,1,0,1,0,0,0,0
120030,21,2,1,0,1,0,0,0,0
120030,22,2,1,0,1,0,0,0,0
120030,23,2,1,0,1,0,0,0,0
120030,24,2,1,0,1,0,0,0,0
120030,25,2,1,0,1,0,0,0,0
120030,26,2,1,0,1,0,0,0,0
120030,27,2,1,0,1,0,0,0,0
120030,28,2,1,0,1,0,0,0,0
120030,29,2,1,0,1,0,0,0,0
120030,30,2,1,0,1,1,1,0,0
120030,31,2,1,0,1,1,1,0,0
120030,32,2,1,0,1,1,1,0,0
120030,33,2,1,0,1,1,1,0,0
120030,34,2,1,0,1,1,1,0,0
120030,35,2,1,0,1,1,1,0,0
120030,36,2,1,0,1,1,1,0,0
120030,37,2,1,0,1,1,1,0,0
120030,38,2,1,0,1,1,1,0,0
120030,39,2,1,0,1,1,1,0,0
120030,40,2,1,0,1,1,1,0,0
120030,41,2,1,0,1,1,1,0,0
120030,42,2,1,0,1,1,1,0,0
120030,43,2,1,0,1,1,1,0,0
120030,44,2,1,0,1,1,1,0,0
120030,45,2,1,0,1,1,1,0,0
120030,46,2,1,0,1,1,1,0,0
120030,47,2,1,0,1,1,1,0,0
120030,48,2,1,0,1,1,1,0,0
120030,50,2,1,0,1,1,1,0,0
120032,6,1,1,0,0,1,1,0,0
120032,7,1,1,0,0,0,0,0,0
120032,8,1,1,0,0,0,0,0,0
120032,9,1,1,0,0,0,0,0,0
120032,10,1,1,0,0,0,0,0,0
120032,11,1,1,0,0,0,0,0,0
120032,12,1,1,0,0,0,0,0,0
120032,13,1,1,0,0,1,1,0,0
120032,14,1,0,0,1,1,0,0,1
120032,15,1,0,0,1,1,0,0,1
120032,16,1,0,0,1,1,0,0,1
120032,17,1,0,0,1,1,0,0,1
120032,18,1,0,0,1,1,0,0,1
120032,19,1,0,0,1,1,0,0,1
120032,20,1,0,0,1,1,0,0,1
120032,21,1,0,0,1,1,0,0,1
120032,22,1,0,0,1,1,0,0,1
120032,23,1,0,0,1,1,0,0,1
120032,24,1,1,0,0,1,0,0,1
120032,25,1,1,0,0,1,0,0,1
120032,26,1,1,0,0,1,0,0,1
120032,27,1,1,0,0,1,1,0,0
120032,28,1,1,0,0,1,1,0,0
120032,29,1,1,0,0,1,1,0,0
120032,30,1,1,0,0,1,1,0,0
120032,31,1,1,0,0,1,1,0,0
120032,32,1,1,0,0,1,1,0,0
120032,33,1,1,0,0,1,1,0,0
120032,34,1,1,0,0,1,1,0,0
120032,35,1,1,0,0,1,1,0,0
120032,36,1,1,0,0,1,1,0,0
120032,37,1,1,0,0,1,1,0,0
120032,38,1,1,0,0,1,1,0,0
120032,39,1,1,0,0,1,1,0,0
120032,40,1,1,0,0,1,1,0,0
120032,41,1,1,0,0,1,1,0,0
120032,42,1,1,0,0,1,1,0,0
120032,43,1,1,0,0,1,1,0,0
120032,44,1,0,0,1,1,0,0,1
120032,45,1,0,0,1,1,0,0,1
120032,46,1,0,0,1,1,0,0,1
120032,47,1,0,0,1,1,0,0,1
120032,48,1,0,0,1,1,0,0,1
120032,50,1,0,0,1,1,0,0,1
120033,6,0,0,0,0,0,0,0,0
120034,6,0,0,0,0,0,0,0,0
120035,6,0,0,0,0,0,0,0,0
120038,6,1,1,0,0,0,0,0,0
120038,7,1,1,0,0,0,0,0,0
120038,8,1,1,0,0,0,0,0,0
120038,9,1,1,0,0,0,0,0,0
120038,10,1,1,0,0,0,0,0,0
120038,11,1,1,0,0,0,0,0,0
120038,12,1,1,0,0,0,0,0,0
120038,13,1,1,0,0,0,0,0,0
120038,14,1,1,0,0,0,0,0,0
120038,15,1,1,0,0,0,0,0,0
120038,16,1,1,0,0,0,0,0,0
120038,17,1,1,0,0,0,0,0,0
120038,18,1,1,0,0,0,0,0,0
120038,19,1,1,0,0,0,0,0,0
120038,20,1,1,0,0,0,0,0,0
120038,21,1,1,0,0,0,0,0,0
120038,22,1,1,0,0,0,0,0,0
120038,23,1,1,0,0,0,0,0,0
120038,24,1,1,0,0,0,0,0,0
120038,25,1,1,0,0,0,0,0,0
120038,26,1,1,0,0,0,0,0,0
120038,27,1,1,0,0,0,0,0,0
120038,28,1,1,0,0,0,0,0,0
120038,29,1,1,0,0,0,0,0,0
120038,30,1,1,0,0,0,0,0,0
120038,31,1,1,0,0,0,0,0,0
120038,32,1,1,0,0,0,0,0,0
120038,33,1,1,0,0,0,0,0,0
120038,34,1,1,0,0,0,0,0,0
120038,35,1,1,0,0,0,0,0,0
120038,36,1,1,0,0,0,0,0,0
120038,37,1,1,0,0,0,0,0,0
120038,38,1,1,0,0,0,0,0,0
120038,39,1,1,0,0,0,0,0,0
120038,40,1,1,0,0,0,0,0,0
120038,41,1,1,0,0,0,0,0,0
120038,42,1,1,0,0,0,0,0,0
120038,43,1,1,0,0,0,0,0,0
120038,44,1,1,0,0,0,0,0,0
120038,45,1,1,0,0,0,0,0,0
120038,46,1,1,0,0,0,0,0,0
120038,47,1,1,0,0,0,0,0,0
120038,48,1,1,0,0,0,0,0,0
120038,50,1,1,0,0,0,0,0,0
120080,6,2,2,0,0,0,0,0,0
120080,7,2,2,0,0,0,0,0,0
120080,8,2,2,0,0,0,0,0,0
120080,9,2,2,0,0,0,0,0,0
120080,10,2,2,0,0,0,0,0,0
120080,11,2,2,0,0,0,0,0,0
120080,12,2,2,0,0,0,0,0,0
120080,13,2,2,0,0,0,0,0,0
120080,14,2,2,0,0,0,0,0,0
120080,15,2,2,0,0,0,0,0,0
120080,16,2,1,0,1,0,0,0,0
120080,17,2,1,0,1,0,0,0,0
120080,18,2,1,0,1,0,0,0,0
120080,19,2,1,0,1,0,0,0,0
120080,20,2,1,0,1,0,0,0,0
120080,21,2,1,0,1,0,0,0,0
120080,22,2,1,0,1,0,0,0,0
120080,23,2,1,0,1,0,0,0,0
120080,24,2,0,0,2,0,0,0,0
120080,25,2,0,0,2,0,0,0,0
120080,26,2,0,0,2,0,0,0,0
120080,27,2,0,0,2,0,0,0,0
120080,28,2,0,0,2,0,0,0,0
120080,29,2,0,0,2,0,0,0,0
120080,30,2,0,0,2,0,0,0,0
120080,31,2,0,0,2,0,0,0,0
120080,32,2,0,0,2,0,0,0,0
120080,33,2,0,0,2,0,0,0,0
120080,34,2,0,0,2,0,0,0,0
120080,35,2,0,0,2,0,0,0,0
120080,36,2,0,0,2,0,0,0,0
120080,37,2,0,0,2,0,0,0,0
120080,38,2,0,0,2,0,0,0,0
120080,39,2,0,0,2,0,0,0,0
120080,40,2,0,0,2,0,0,0,0
120080,41,2,0,0,2,0,0,0,0
120080,42,2,0,0,2,0,0,0,0
120080,43,2,0,0,2,0,0,0,0
120080,44,2,0,0,2,0,0,0,0
120080,45,2,0,0,2,0,0,0,0
120080,46,2,0,0,2,0,0,0,0
120080,47,2,0,0,2,0,0,0,0
120080,48,2,0,0,2,0,0,0,0
120080,50,2,0,0,2,0,0,0,0
120039,6,0,0,0,0,0,0,0,0
120040,6,14,14,0,0,0,0,0,0
120040,7,19,19,0,0,1,1,0,0
120040,8,15,15,0,0,1,1,0,0
120040,9,17,17,0,0,1,1,0,0
120040,10,18,18,0,0,1,1,0,0
120040,11,19,19,0,0,1,1,0,0
120040,12,19,19,0,0,1,1,0,0
120040,13,22,21,1,0,0,0,0,0
120040,14,24,16,0,8,0,0,0,0
120040,15,24,16,0,8,0,0,0,0
120040,16,24,13,0,11,0,0,0,0
120040,17,26,15,0,11,0,0,0,0
120040,18,26,15,0,11,0,0,0,0
120040,19,27,16,0,11,0,0,0,0
120040,20,27,16,0,11,0,0,0,0
120040,21,27,16,0,11,0,0,0,0
120040,22,27,16,0,11,0,0,0,0
120040,23,27,16,0,11,0,0,0,0
120040,24,29,8,2,19,0,0,0,0
120040,25,29,8,2,19,0,0,0,0
120040,26,29,8,2,19,0,0,0,0
120040,27,30,6,2,22,1,0,1,0
120040,28,30,6,2,22,1,0,1,0
120040,29,33,9,2,22,1,0,1,0
120040,30,33,9,2,22,1,0,1,0
120040,31,35,11,2,22,1,0,1,0
120040,32,35,11,2,22,1,0,1,0
120040,33,37,13,2,22,1,0,1,0
120040,34,37,13,2,22,1,0,1,0
120040,35,37,13,2,22,1,0,1,0
120040,36,37,13,2,22,1,0,1,0
120040,37,37,13,2,22,1,0,1,0
120040,38,37,13,2,22,1,0,1,0
120040,39,37,13,2,22,1,0,1,0
120040,40,37,13,2,22,1,0,1,0
120040,41,37,13,2,22,1,0,1,0
120040,42,37,13,2,22,1,0,1,0
120040,43,37,13,2,22,1,0,1,0
120040,44,38,14,2,22,1,0,1,0
120040,45,38,14,2,22,2,1,1,0
120040,46,39,15,2,22,2,1,1,0
120040,47,40,16,2,22,2,1,1,0
120040,48,40,16,2,22,2,1,1,0
120040,50,40,12,2,26,2,1,1,0
120042,6,0,0,0,0,0,0,0,0
120043,6,0,0,0,0,0,0,0,0
120045,6,1,1,0,0,0,0,0,0
120050,6,1,1,0,0,0,0,0,0
120050,7,1,1,0,0,0,0,0,0
120050,8,1,1,0,0,0,0,0,0
120050,9,1,1,0,0,0,0,0,0
120050,10,1,1,0,0,0,0,0,0
120050,11,1,1,0,0,0,0,0,0
120050,12,1,1,0,0,0,0,0,0
120050,13,2,2,0,0,0,0,0,0
120050,14,2,2,0,0,0,0,0,0
120050,15,2,2,0,0,0,0,0,0
120050,16,2,2,0,0,0,0,0,0
120050,17,2,2,0,0,0,0,0,0
120050,18,2,2,0,0,0,0,0,0
120050,19,2,2,0,0,0,0,0,0
120050,20,2,2,0,0,0,0,0,0
120050,21,2,2,0,0,0,0,0,0
120050,22,2,2,0,0,0,0,0,0
120050,23,2,2,0,0,0,0,0,0
120050,24,2,0,0,2,0,0,0,0
120050,25,2,0,0,2,0,0,0,0
120050,26,2,0,0,2,0,0,0,0
120050,27,2,0,0,2,0,0,0,0
120050,28,2,0,0,2,0,0,0,0
120050,29,2,0,0,2,0,0,0,0
120050,30,2,0,0,2,0,0,0,0
120050,31,2,0,0,2,0,0,0,0
120050,32,2,0,0,2,0,0,0,0
120050,33,2,0,0,2,0,0,0,0
120050,34,2,0,0,2,0,0,0,0
120050,35,2,0,0,2,0,0,0,0
120050,36,2,0,0,2,0,0,0,0
120050,37,2,0,0,2,0,0,0,0
120050,38,2,0,0,2,0,0,0,0
120050,39,2,0,0,2,0,0,0,0
120050,40,2,0,0,2,0,0,0,0
120050,41,2,0,0,2,0,0,0,0
120050,42,2,0,0,2,0,0,0,0
120050,43,2,0,0,2,0,0,0,0
120050,44,3,1,0,2,0,0,0,0
120050,45,3,1,0,2,0,0,0,0
120050,46,3,1,0,2,0,0,0,0
120050,47,3,1,0,2,0,0,0,0
120050,48,3,1,0,2,0,0,0,0
120050,50,3,1,0,2,0,0,0,0
120060,6,0,0,0,0,0,0,0,0
120060,8,1,1,0,0,0,0,0,0
120060,9,1,1,0,0,0,0,0,0
120060,10,1,1,0,0,0,0,0,0
120060,11,1,0,0,1,0,0,0,0
120060,12,1,0,0,1,0,0,0,0
120060,13,1,0,0,1,0,0,0,0
120060,14,1,0,0,1,0,0,0,0
120060,15,1,0,0,1,0,0,0,0
120060,16,1,0,0,1,0,0,0,0
120060,17,1,0,0,1,0,0,0,0
120060,18,1,0,0,1,0,0,0,0
120060,19,1,0,0,1,0,0,0,0
120060,20,1,0,0,1,0,0,0,0
120060,21,1,0,0,1,0,0,0,0
120060,22,1,0,0,1,0,0,0,0
120060,23,1,0,0,1,0,0,0,0
120060,24,1,0,0,1,0,0,0,0
120060,25,1,0,0,1,0,0,0,0
120060,26,1,0,0,1,0,0,0,0
120060,27,1,0,0,1,0,0,0,0
120060,28,1,0,0,1,0,0,0,0
120060,29,1,0,0,1,0,0,0,0
120060,30,1,0,0,1,0,0,0,0
120060,31,1,0,0,1,0,0,0,0
120060,32,1,0,0,1,0,0,0,0
120060,33,1,0,0,1,0,0,0,0
120060,34,1,0,0,1,0,0,0,0
120060,35,1,0,0,1,0,0,0,0
120060,36,1,0,0,1,0,0,0,0
120060,37,1,0,0,1,0,0,0,0
120060,38,1,0,0,1,0,0,0,0
120060,39,1,0,0,1,0,0,0,0
120060,40,1,0,0,1,0,0,0,0
120060,41,1,0,0,1,0,0,0,0
120060,42,1,0,0,1,0,0,0,0
120060,43,1,0,0,1,0,0,0,0
120060,44,2,0,0,2,0,0,0,0
120060,45,2,0,0,2,0,0,0,0
120060,46,2,0,0,2,0,0,0,0
120060,47,2,0,0,2,0,0,0,0
120060,48,2,0,0,2,0,0,0,0
120060,50,2,0,0,2,0,0,0,0
120070,6,0,0,0,0,0,0,0,0
270010,6,3,3,0,0,1,1,0,0
270010,7,3,3,0,0,1,1,0,0
270010,8,3,2,0,1,1,1,0,0
270010,9,3,2,0,1,1,1,0,0
270010,10,3,2,0,1,1,1,0,0
270010,11,3,2,0,1,1,1,0,0
270010,12,3,2,0,1,1,1,0,0
270010,13,3,2,0,1,1,1,0,0
270010,14,3,2,0,1,1,1,0,0
270010,15,3,2,0,1,1,1,0,0
270010,16,3,2,0,1,1,1,0,0
270010,17,3,2,0,1,1,1,0,0
270010,18,3,2,0,1,1,1,0,0
270010,19,3,2,0,1,1,1,0,0
270010,20,3,2,0,1,1,1,0,0
270010,21,3,2,0,1,1,1,0,0
270010,22,3,2,0,1,1,1,0,0
270010,23,3,1,0,2,1,1,0,0
270010,24,3,1,0,2,1,1,0,0
270010,25,3,1,0,2,1,1,0,0
270010,26,3,1,0,2,1,1,0,0
270010,27,3,1,0,2,1,1,0,0
270010,28,3,1,0,2,1,1,0,0
270010,29,3,1,0,2,1,1,0,0
270010,30,3,1,0,2,1,1,0,0
270010,31,3,1,0,2,1,1,0,0
270010,32,3,1,0,2,1,1,0,0
270010,33,3,1,0,2,1,1,0,0
270010,34,3,1,0,2,1,1,0,0
270010,35,3,1,0,2,1,1,0,0
270010,36,3,1,0,2,1,1,0,0
270010,37,3,1,0,2,1,1,0,0
270010,38,3,1,0,2,1,1,0,0
270010,39,3,1,0,2,1,1,0,0
270010,40,3,1,0,2,1,1,0,0
270010,41,3,1,0,2,1,1,0,0
270010,42,3,1,0,2,1,1,0,0
270010,43,3,1,0,2,1,1,0,0
270010,44,3,1,0,2,1,1,0,0
270010,45,3,1,0,2,1,1,0,0
270010,46,3,1,0,2,1,1,0,0
270010,47,3,1,0,2,1,1,0,0
270010,48,3,1,0,2,1,1,0,0
270010,50,3,1,0,2,1,1,0,0
270020,6,1,1,0,0,0,0,0,0
270020,7,1,1,0,0,0,0,0,0
270020,8,1,1,0,0,0,0,0,0
270020,9,1,1,0,0,0,0,0,0
270020,10,1,1,0,0,0,0,0,0
270020,11,1,1,0,0,0,0,0,0
270020,12,1,1,0,0,0,0,0,0
270020,13,1,1,0,0,0,0,0,0
270020,14,1,1,0,0,0,0,0,0
270020,15,3,3,0,0,0,0,0,0
270020,16,3,3,0,0,0,0,0,0
270020,17,3,3,0,0,0,0,0,0
270020,18,3,3,0,0,0,0,0,0
270020,19,3,3,0,0,0,0,0,0
270020,20,3,0,1,2,0,0,0,0
270020,21,3,0,1,2,0,0,0,0
270020,22,3,0,1,2,0,0,0,0
270020,23,3,0,1,2,0,0,0,0
270020,24,3,0,1,2,0,0,0,0
270020,25,3,0,1,2,0,0,0,0
270020,26,3,0,1,2,0,0,0,0
270020,27,3,0,1,2,0,0,0,0
270020,28,3,0,1,2,0,0,0,0
270020,29,3,0,1,2,0,0,0,0
270020,30,3,0,1,2,0,0,0,0
270020,31,3,0,1,2,0,0,0,0
270020,32,3,0,1,2,0,0,0,0
270020,33,3,0,1,2,0,0,0,0
270020,34,3,0,1,2,0,0,0,0
270020,35,3,0,1,2,0,0,0,0
270020,36,3,0,1,2,0,0,0,0
270020,37,3,0,1,2,0,0,0,0
270020,38,3,0,1,2,0,0,0,0
270020,39,3,0,1,2,0,0,0,0
270020,40,3,0,1,2,0,0,0,0
270020,41,3,0,1,2,0,0,0,0
270020,42,3,0,1,2,0,0,0,0
270020,43,3,0,1,2,0,0,0,0
270020,44,3,0,1,2,0,0,0,0
270020,45,3,0,1,2,0,0,0,0
270020,46,3,0,1,2,0,0,0,0
270020,47,3,0,1,2,0,0,0,0
270020,48,3,0,1,2,0,0,0,0
270020,50,3,0,1,2,0,0,0,0
270030,6,16,4,7,5,0,0,0,0
270030,7,16,3,8,5,0,0,0,0
270030,8,18,3,10,5,0,0,0,0
270030,9,18,3,10,5,1,1,0,0
270030,10,20,5,10,5,1,0,1,0
270030,11,22,7,10,5,1,0,1,0
270030,12,22,6,11,5,1,0,1,0
270030,13,22,5,11,6,1,0,1,0
270030,14,23,6,11,6,1,0,1,0
270030,15,23,6,11,6,1,0,1,0
270030,16,24,4,12,8,1,0,1,0
270030,17,24,3,13,8,1,0,1,0
270030,18,24,3,13,8,1,0,1,0
270030,19,24,3,13,8,1,0,1,0
270030,20,24,3,13,8,1,0,1,0
270030,21,25,4,13,8,1,0,1,0
270030,22,25,4,13,8,1,0,1,0
270030,23,25,4,13,8,1,0,1,0
270030,24,26,5,13,8,1,0,1,0
270030,25,28,6,13,9,1,0,1,0
270030,26,29,8,13,9,1,0,1,0
270030,27,28,7,12,9,2,1,1,0
270030,28,27,4,12,11,2,1,1,0
270030,29,27,4,12,11,2,1,1,0
270030,30,28,4,12,12,2,1,1,0
270030,31,28,4,12,12,2,1,1,0
270030,32,28,4,12,12,2,1,1,0
270030,33,28,4,12,12,2,1,1,0
270030,34,28,2,12,14,2,1,1,0
270030,35,28,2,12,14,2,1,1,0
270030,36,28,1,12,15,2,1,1,0
270030,37,28,1,12,15,2,1,1,0
270030,38,28,1,12,15,2,1,1,0
270030,39,29,2,12,15,2,1,1,0
270030,40,29,2,12,15,2,1,1,0
270030,41,29,2,12,15,2,1,1,0
270030,42,29,2,12,15,2,1,1,0
270030,43,29,2,12,15,2,1,1,0
270030,44,29,2,12,15,2,1,1,0
270030,45,29,2,12,15,2,1,1,0
270030,46,29,2,12,15,2,1,1,0
270030,47,29,2,12,15,2,1,1,0
270030,48,29,2,12,15,2,1,1,0
270030,50,29,1,12,16,2,1,1,0
270040,6,2,1,0,1,0,0,0,0
270040,7,2,1,0,1,0,0,0,0
270040,8,2,1,0,1,0,0,0,0
270040,9,2,1,0,1,0,0,0,0
270040,10,2,1,0,1,0,0,0,0
270040,11,2,1,0,1,0,0,0,0
270040,12,2,1,0,1,0,0,0,0
270040,13,2,0,0,2,0,0,0,0
270040,14,2,0,0,2,0,0,0,0
270040,15,2,0,0,2,0,0,0,0
270040,16,2,0,0,2,0,0,0,0
270040,17,2,0,0,2,0,0,0,0
270040,18,2,0,0,2,0,0,0,0
270040,19,2,0,0,2,0,0,0,0
270040,20,4,2,0,2,0,0,0,0
270040,21,4,2,0,2,0,0,0,0
270040,22,4,2,0,2,0,0,0,0
270040,23,4,2,0,2,0,0,0,0
270040,24,4,2,0,2,0,0,0,0
270040,25,4,1,0,3,0,0,0,0
270040,26,4,0,1,3,0,0,0,0
270040,27,4,0,1,3,0,0,0,0
270040,28,4,0,1,3,0,0,0,0
270040,29,4,0,1,3,0,0,0,0
270040,30,3,0,0,3,0,0,0,0
270040,31,3,0,0,3,0,0,0,0
270040,32,4,0,1,3,0,0,0,0
270040,33,4,0,1,3,0,0,0,0
270040,34,4,0,1,3,0,0,0,0
270040,35,4,0,1,3,0,0,0,0
270040,36,5,1,1,3,0,0,0,0
270040,37,5,1,1,3,0,0,0,0
270040,38,5,1,1,3,0,0,0,0
270040,39,5,1,1,3,0,0,0,0
270040,40,5,1,1,3,0,0,0,0
270040,41,5,1,1,3,0,0,0,0
270040,42,5,1,1,3,0,0,0,0
270040,43,5,0,1,4,0,0,0,0
270040,44,5,0,1,4,0,0,0,0
270040,45,5,0,1,4,0,0,0,0
270040,46,5,0,1,4,0,0,0,0
270040,47,5,0,1,4,0,0,0,0
270040,48,5,0,1,4,0,0,0,0
270040,50,5,0,1,4,0,0,0,0
270050,6,0,0,0,0,0,0,0,0
270050,10,1,1,0,0,0,0,0,0
270050,11,1,1,0,0,0,0,0,0
270050,12,1,1,0,0,0,0,0,0
270050,13,1,1,0,0,0,0,0,0
270050,14,2,2,0,0,0,0,0,0
270050,15,2,2,0,0,0,0,0,0
270050,16,2,2,0,0,0,0,0,0
270050,17,2,2,0,0,0,0,0,0
270050,18,2,0,0,2,0,0,0,0
270050,19,2,0,0,2,0,0,0,0
270050,20,2,0,0,2,0,0,0,0
270050,21,3,1,0,2,0,0,0,0
270050,22,3,1,0,2,0,0,0,0
270050,23,3,1,0,2,0,0,0,0
270050,24,3,1,0,2,0,0,0,0
270050,25,3,1,0,2,0,0,0,0
270050,26,3,1,0,2,0,0,0,0
270050,27,3,1,0,2,0,0,0,0
270050,28,3,1,0,2,0,0,0,0
270050,29,3,1,0,2,0,0,0,0
270050,30,3,1,0,2,0,0,0,0
270050,31,3,1,0,2,0,0,0,0
270050,32,3,1,0,2,0,0,0,0
270050,33,3,1,0,2,0,0,0,0
270050,34,3,1,0,2,0,0,0,0
270050,35,3,1,0,2,0,0,0,0
270050,36,3,1,0,2,0,0,0,0
270050,37,3,1,0,2,0,0,0,0
270050,38,3,0,0,3,0,0,0,0
270050,39,3,0,0,3,0,0,0,0
270050,40,3,0,0,3,0,0,0,0
270050,41,3,0,0,3,0,0,0,0
270050,42,3,0,0,3,0,0,0,0
270050,43,3,0,0,3,0,0,0,0
270050,44,3,0,0,3,0,0,0,0
270050,45,3,0,0,3,0,0,0,0
270050,46,3,0,0,3,0,0,0,0
270050,47,3,0,0,3,0,0,0,0
270050,48,3,0,0,3,0,0,0,0
270050,50,3,0,0,3,0,0,0,0
270060,6,0,0,0,0,0,0,0,0
270060,20,2,2,0,0,0,0,0,0
270060,21,2,2,0,0,0,0,0,0
270060,22,2,2,0,0,0,0,0,0
270060,23,2,1,0,1,0,0,0,0
270060,24,2,0,1,1,0,0,0,0
270060,25,2,0,1,1,0,0,0,0
270060,26,2,0,1,1,0,0,0,0
270060,27,2,0,1,1,0,0,0,0
270060,28,2,0,1,1,0,0,0,0
270060,29,2,0,1,1,0,0,0,0
270060,30,2,0,1,1,0,0,0,0
270060,31,2,0,1,1,0,0,0,0
270060,32,2,0,1,1,0,0,0,0
270060,33,2,0,1,1,0,0,0,0
270060,34,2,0,1,1,0,0,0,0
270060,35,2,0,1,1,0,0,0,0
270060,36,2,0,1,1,0,0,0,0
270060,37,2,0,1,1,0,0,0,0
270060,38,2,0,1,1,0,0,0,0
